"# Import conversations to test your agent."
"#"
"# PA Studio - Conversational Evaluation Test Set"
"# Tests: SCORM search, paste path, link path, edit loop, edge cases, and conversation recovery"
"#"
"# Limitations"
"# - 8 question-and-answer pairs max per conversation."
"# - 50 conversations max."
"# - 500 characters max per question, including spaces."
"#"
"# Imported columns"
"# conversationNumber - Identifies each conversation."
"# question - The user prompt that the agent will respond to."
"# response - The reference agent reply (optional)."
"#"
"conversationNumber","question","response"
"1","I need a PA for the GPU module replacement course","ZT C2660: GPU Module Replacement — Course ID: S9199623"
"1","1","Would you like to add any additional content to supplement the source material?"
"1","No, use as-is","I've extracted the following PA fields from your source content"
"1","Generate","Your Practical Activity Worksheet has been generated and emailed to you"
"2","I need a PA for drive replacement","Dell R740"
"2","2","Would you like to add any additional content to supplement the source material?"
"2","No, use as-is","I've extracted the following PA fields from your source content"
"2","Edit","Tell me which field to change and the new value"
"2","Change the duration to 90 minutes","I've extracted the following PA fields"
"2","Generate","Your Practical Activity Worksheet has been generated and emailed to you"
"3","Create a PA from this: Procedure: UPS Battery Replacement. Author: Mike Chen. Duration: 45 min. Steps: 1. Review GDCO ticket 2. Put on PPE 3. Power down UPS 4. Remove old battery 5. Install new battery 6. Power on and verify. Tools: Multimeter. PPE: Insulated gloves.","Would you like to add any additional content to supplement the source material?"
"3","No, use as-is","UPS Battery Replacement"
"3","Generate","Your Practical Activity Worksheet has been generated and emailed to you"
"4","Create a PA from this link: https://learn.microsoft.com/en-us/training/modules/introduction-to-azure-virtual-machines/","Would you like to add any additional content to supplement the source material?"
"4","No, use as-is","Azure Virtual Machines"
"4","Generate","Your Practical Activity Worksheet has been generated and emailed to you"
"5","make a pa","Would you like me to search for a SCORM course, or do you have content to paste"
"5","I want to search for a course","course name or topic"
"5","liquid cooling fill procedure","Fill"
"5","1","Would you like to add any additional content to supplement the source material?"
"5","No, use as-is","I've extracted the following PA fields from your source content"
"5","Generate","Your Practical Activity Worksheet has been generated and emailed to you"
"6","create a pa","provide your source content"
"6","I don't have any","doesn't look like source content"
"6","Procedure: Cable Labeling. Steps: 1. Review rack layout 2. Label cables 3. Verify labels. Tools: Label printer. Duration: 20 min.","Would you like to add any additional content"
"6","No, use as-is","Cable Labeling"
"6","Generate","Your Practical Activity Worksheet has been generated and emailed to you"
"7","I need a PA for 400G networking","400G"
"7","3","Would you like to add any additional content to supplement the source material?"
"7","Yes, I have additional content","Please provide your additional content now"
"7","Also include fiber optic safety procedures and proper handling of LC connectors","I've extracted the following PA fields from your source content"
"7","Generate","Your Practical Activity Worksheet has been generated and emailed to you"
"8","hello","PA Studio"
"8","I need a PA for server rack installation","Rack"
"8","2","Would you like to add any additional content to supplement the source material?"
"8","No, use as-is","I've extracted the following PA fields from your source content"
"8","Edit","Tell me which field to change"
"8","Add John Smith as the author and change duration to 2 hours","I've extracted the following PA fields"
"8","Generate","Your Practical Activity Worksheet has been generated and emailed to you"
"9","I need a PA for the power supply replacement course","Power"
"9","1","Would you like to add any additional content to supplement the source material?"
"9","No, use as-is","I've extracted the following PA fields from your source content"
"9","Generate","Your Practical Activity Worksheet has been generated and emailed to you"
"10","I need a PA for water systems training","Water"
"10","1","Would you like to add any additional content to supplement the source material?"
"10","No, use as-is","I've extracted the following PA fields from your source content"
"10","Generate","Your Practical Activity Worksheet has been generated and emailed to you"
