"# Import the test cases you want to use to test your agent"
"#"
"# PA Studio Evaluation Test Set"
"# Tests SCORM search, paste handling, link handling, edge cases, and routing"
"#"
"# Imported columns"
"# question - User question that the agent will answer."
"# expectedResponse - Expected responses to run match, similarity and compare meaning test cases."
"#"
"# For more information, see the documentation."
"#"
"question","expectedResponse"
"I need a PA for the GPU module replacement course","ZT C2660 GPU Module Replacement"
"Create a PA for server decommissioning","course"
"I need a PA for drive replacement","Drive Replacement"
"Create a PA for fiber optic cable installation","cable"
"I need a PA for the power supply replacement course","Power"
"make a pa","Would you like me to search for a SCORM course, or do you have content to paste"
"Create a PA from this: Procedure: UPS Battery Replacement. Author: Mike Chen. Duration: 45 min. Steps: 1. Review GDCO ticket 2. Put on PPE 3. Power down UPS 4. Remove old battery 5. Install new battery 6. Power on and verify. Tools: Multimeter. PPE: Insulated gloves.","UPS Battery Replacement"
"Create a PA from this: Procedure: Network Switch Replacement. Author: Anna Kim. Duration: 60 min. Audience: Level 3 DCTs. Steps: 1. Review GDCO ticket 2. Notify NOC 3. Label cables 4. Power down switch 5. Remove from rack 6. Mount replacement 7. Power on and verify 8. Close ticket. PPE: ESD strap. Tools: Cable tester, label printer.","Network Switch Replacement"
"I need a PA for 400G networking","400G"
"Create a PA for Callan server deployment","Callan"
"I need a practical activity for liquid cooling fill procedure","Fill"
"hello","PA Studio"
"what can you do","Practical Activity"
"I don't have any content","provide"
"asdf","source content"
"Create a PA from this link: https://learn.microsoft.com/en-us/training/modules/introduction-to-azure-virtual-machines/","Azure Virtual Machines"
"I need a PA for the UPS training course","UPS"
"Create a PA for rack movement","Rack"
"I need a PA about safety training","Safety"
"Make a practical activity for the water systems course","Water"
